danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.838,0.626,0,-4.214,1,0.0396,0.00211,5.93e-05,0.0221,0.108,97.994,audio_features,5YZRZqEkrteLmxvseHnQ2K,spotify:track:5YZRZqEkrteLmxvseHnQ2K,https://api.spotify.com/v1/tracks/5YZRZqEkrteLmxvseHnQ2K,https://api.spotify.com/v1/audio-analysis/5YZRZqEkrteLmxvseHnQ2K,163514,4,Rap,Live Television,,
0.611,0.478,0,-5.839,1,0.107,0.035,0.0,0.107,0.138,172.076,audio_features,1AH60dMaEfNjzDoUIFwIQi,spotify:track:1AH60dMaEfNjzDoUIFwIQi,https://api.spotify.com/v1/tracks/1AH60dMaEfNjzDoUIFwIQi,https://api.spotify.com/v1/audio-analysis/1AH60dMaEfNjzDoUIFwIQi,258158,4,Rap,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),,
0.7440000000000001,0.6970000000000001,11,-5.063,0,0.1969999999999999,0.0106,0.0,0.0842,0.767,149.28,audio_features,17husT8tMWaBHcQqUpYDZQ,spotify:track:17husT8tMWaBHcQqUpYDZQ,https://api.spotify.com/v1/tracks/17husT8tMWaBHcQqUpYDZQ,https://api.spotify.com/v1/audio-analysis/17husT8tMWaBHcQqUpYDZQ,247413,4,Hiphop,Make It Rain,,
0.823,0.703,8,-2.6910000000000003,1,0.298,0.0161,1.35e-06,0.294,0.26,178.043,audio_features,50I7FNN2rl2rWiNwGxS146,spotify:track:50I7FNN2rl2rWiNwGxS146,https://api.spotify.com/v1/tracks/50I7FNN2rl2rWiNwGxS146,https://api.spotify.com/v1/audio-analysis/50I7FNN2rl2rWiNwGxS146,194214,4,Rap,No Opp Left Behind,,
0.649,0.2,2,-19.41,1,0.0507,0.8390000000000001,0.000306,0.206,0.866,150.043,audio_features,5zDPkwHEID3BErCrgPbBOw,spotify:track:5zDPkwHEID3BErCrgPbBOw,https://api.spotify.com/v1/tracks/5zDPkwHEID3BErCrgPbBOw,https://api.spotify.com/v1/audio-analysis/5zDPkwHEID3BErCrgPbBOw,160325,4,Dark Trap,Storyboard for a Pessimist,,
0.92,0.677,2,-3.484,1,0.266,0.216,1.68e-06,0.0981,0.939,183.878,audio_features,3RnLEACttdwU6futFsaflI,spotify:track:3RnLEACttdwU6futFsaflI,https://api.spotify.com/v1/tracks/3RnLEACttdwU6futFsaflI,https://api.spotify.com/v1/audio-analysis/3RnLEACttdwU6futFsaflI,223267,4,Hiphop,Bow Wow (That's My Name),,
0.59,0.8640000000000001,11,-5.939,1,0.0455,0.216,0.166,0.119,0.0873,135.025,audio_features,0yKxMlao5Cj4Yrm03vVKst,spotify:track:0yKxMlao5Cj4Yrm03vVKst,https://api.spotify.com/v1/tracks/0yKxMlao5Cj4Yrm03vVKst,https://api.spotify.com/v1/audio-analysis/0yKxMlao5Cj4Yrm03vVKst,208681,4,Dark Trap,Antidote,,
0.785,0.476,1,-9.805,1,0.115,0.115,0.00165,0.092,0.223,118.931,audio_features,2fRoKHW3lzNUKIUTade8nL,spotify:track:2fRoKHW3lzNUKIUTade8nL,https://api.spotify.com/v1/tracks/2fRoKHW3lzNUKIUTade8nL,https://api.spotify.com/v1/audio-analysis/2fRoKHW3lzNUKIUTade8nL,227560,4,Underground Rap,745,,
0.6659999999999999,0.54,7,-10.112,1,0.0509,0.0573,0.0702,0.0958,0.276,104.907,audio_features,3hu0J1n9WVCtehnfgXorZV,spotify:track:3hu0J1n9WVCtehnfgXorZV,https://api.spotify.com/v1/tracks/3hu0J1n9WVCtehnfgXorZV,https://api.spotify.com/v1/audio-analysis/3hu0J1n9WVCtehnfgXorZV,131840,4,Underground Rap,Cracks,,
0.718,0.82,5,-3.4530000000000003,0,0.0323,0.0444,0.0,0.0846,0.613,185.996,audio_features,4XNrMwGx1SqP01sqkGTDmo,spotify:track:4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/audio-analysis/4XNrMwGx1SqP01sqkGTDmo,219467,4,Pop,One More Night,,
0.3289999999999999,0.872,10,-4.745,0,0.0699,0.000468,0.0132,0.0776,0.113,148.012,audio_features,62JSN8GUy41m30XXEvsJGR,spotify:track:62JSN8GUy41m30XXEvsJGR,https://api.spotify.com/v1/tracks/62JSN8GUy41m30XXEvsJGR,https://api.spotify.com/v1/audio-analysis/62JSN8GUy41m30XXEvsJGR,248587,4,Emo,You Run,,
0.6920000000000001,0.713,10,-4.489,0,0.351,0.3429999999999999,0.0,0.102,0.615,137.36,audio_features,593W4qZOwwdqF6YnimJjL6,spotify:track:593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/tracks/593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/audio-analysis/593W4qZOwwdqF6YnimJjL6,266080,4,Hiphop,Doves In The Wind (feat. Kendrick Lamar),,
0.883,0.625,6,-4.098,1,0.245,0.239,0.0,0.0765,0.871,126.677,audio_features,7fm5r6dD04emTplbHD5wDP,spotify:track:7fm5r6dD04emTplbHD5wDP,https://api.spotify.com/v1/tracks/7fm5r6dD04emTplbHD5wDP,https://api.spotify.com/v1/audio-analysis/7fm5r6dD04emTplbHD5wDP,141519,5,Underground Rap,Buster,,
0.85,0.7070000000000001,7,-6.507000000000001,1,0.0482,0.0638,2.58e-06,0.252,0.725,203.736,audio_features,5x2TDyeeTpf0riUoQDrvsV,spotify:track:5x2TDyeeTpf0riUoQDrvsV,https://api.spotify.com/v1/tracks/5x2TDyeeTpf0riUoQDrvsV,https://api.spotify.com/v1/audio-analysis/5x2TDyeeTpf0riUoQDrvsV,291933,4,RnB,Ride Wit Me,,
0.682,0.637,1,-8.138,1,0.206,0.02,0.775,0.13,0.171,131.893,audio_features,6JoCbb9MdnAXm0BMIqctM6,spotify:track:6JoCbb9MdnAXm0BMIqctM6,https://api.spotify.com/v1/tracks/6JoCbb9MdnAXm0BMIqctM6,https://api.spotify.com/v1/audio-analysis/6JoCbb9MdnAXm0BMIqctM6,160158,4,Underground Rap,Bastard,,
0.428,0.953,2,-4.475,1,0.109,0.00579,0.0,0.241,0.7959999999999999,181.065,audio_features,4CmMW6ll5Tzt4m4Mo5rM2v,spotify:track:4CmMW6ll5Tzt4m4Mo5rM2v,https://api.spotify.com/v1/tracks/4CmMW6ll5Tzt4m4Mo5rM2v,https://api.spotify.com/v1/audio-analysis/4CmMW6ll5Tzt4m4Mo5rM2v,201533,4,Emo,Bada Bing! Wit' a Pipe!,,
0.5820000000000001,0.272,2,-5.662000000000001,1,0.0501,0.875,0.0,0.13,0.354,205.846,audio_features,78TTtXnFQPzwqlbtbwqN0y,spotify:track:78TTtXnFQPzwqlbtbwqN0y,https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y,https://api.spotify.com/v1/audio-analysis/78TTtXnFQPzwqlbtbwqN0y,188238,4,RnB,FourFiveSeconds,,
0.862,0.7709999999999999,0,-3.842,1,0.316,0.104,0.0,0.166,0.7290000000000001,140.042,audio_features,4UpdbmAZZMESSeVObvnK3w,spotify:track:4UpdbmAZZMESSeVObvnK3w,https://api.spotify.com/v1/tracks/4UpdbmAZZMESSeVObvnK3w,https://api.spotify.com/v1/audio-analysis/4UpdbmAZZMESSeVObvnK3w,160522,4,Underground Rap,Yung Minor Threat,,
0.589,0.655,8,-8.138,1,0.0488,0.057,0.0003529999999999,0.372,0.675,210.544,audio_features,4v5kAh2wWyCSuKuhMJK8u6,spotify:track:4v5kAh2wWyCSuKuhMJK8u6,https://api.spotify.com/v1/tracks/4v5kAh2wWyCSuKuhMJK8u6,https://api.spotify.com/v1/audio-analysis/4v5kAh2wWyCSuKuhMJK8u6,220640,4,RnB,Long Way 2 Go,,
0.861,0.603,8,-5.787999999999999,0,0.176,0.0521,0.0,0.0924,0.504,196.086,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760,4,Underground Rap,ZEZE (feat. Travis Scott & Offset),,
0.529,0.467,6,-7.636,0,0.0428,0.156,4.28e-06,0.0822,0.0463,140.032,audio_features,3Wfx3HyfmL4O6BFlBqkMMR,spotify:track:3Wfx3HyfmL4O6BFlBqkMMR,https://api.spotify.com/v1/tracks/3Wfx3HyfmL4O6BFlBqkMMR,https://api.spotify.com/v1/audio-analysis/3Wfx3HyfmL4O6BFlBqkMMR,219462,4,Dark Trap,why am i ok,,
0.653,0.41,5,-13.26,1,0.0912,0.368,0.0,0.108,0.119,128.045,audio_features,6kP92fKzIyVJtNobCRsZ6G,spotify:track:6kP92fKzIyVJtNobCRsZ6G,https://api.spotify.com/v1/tracks/6kP92fKzIyVJtNobCRsZ6G,https://api.spotify.com/v1/audio-analysis/6kP92fKzIyVJtNobCRsZ6G,204535,4,Underground Rap,Right Here,,
0.76,0.758,7,-5.771,1,0.19,0.0975,0.344,0.31,0.471,150.013,audio_features,2n3KGoZlNHZLprE9U3qi6I,spotify:track:2n3KGoZlNHZLprE9U3qi6I,https://api.spotify.com/v1/tracks/2n3KGoZlNHZLprE9U3qi6I,https://api.spotify.com/v1/audio-analysis/2n3KGoZlNHZLprE9U3qi6I,160183,4,Underground Rap,Infested,,
0.51,0.925,11,-4.9110000000000005,0,0.034,0.00225,0.0858,0.426,0.491,139.966,audio_features,2HVQH9wXlVfNe7l9METbjW,spotify:track:2HVQH9wXlVfNe7l9METbjW,https://api.spotify.com/v1/tracks/2HVQH9wXlVfNe7l9METbjW,https://api.spotify.com/v1/audio-analysis/2HVQH9wXlVfNe7l9METbjW,228107,4,Dark Trap,Speedway 2001,,
