danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.954,0.322,1,-7.974,1,0.359,0.0302,0.00617,0.0981,0.0497,104.983,audio_features,70MvLbcWpE5bzQFopc7HdX,spotify:track:70MvLbcWpE5bzQFopc7HdX,https://api.spotify.com/v1/tracks/70MvLbcWpE5bzQFopc7HdX,https://api.spotify.com/v1/audio-analysis/70MvLbcWpE5bzQFopc7HdX,213714,4,Underground Rap,Aww Shit,,
0.696,0.971,2,-2.271,1,0.129,0.00132,0.54,0.128,0.171,171.93400000000003,audio_features,3bDQ0mkgeJToIQjwWRL12P,spotify:track:3bDQ0mkgeJToIQjwWRL12P,https://api.spotify.com/v1/tracks/3bDQ0mkgeJToIQjwWRL12P,https://api.spotify.com/v1/audio-analysis/3bDQ0mkgeJToIQjwWRL12P,264008,4,dnb,,17278.0,UKF Drum & Bass - All Uploads
0.544,0.934,2,-5.485,1,0.0934,0.00338,0.128,0.154,0.186,150.016,audio_features,1zTUuaEc3IP6JfW66oD0p2,spotify:track:1zTUuaEc3IP6JfW66oD0p2,https://api.spotify.com/v1/tracks/1zTUuaEc3IP6JfW66oD0p2,https://api.spotify.com/v1/audio-analysis/1zTUuaEc3IP6JfW66oD0p2,197658,4,hardstyle,,20467.0,Euphoric Hardstyle - 2020
0.579,0.903,10,-7.346,0,0.0471,5.75e-05,0.8809999999999999,0.0685,0.132,144.001,audio_features,0rjX2M9jeu6m0jjbAJJoZ5,spotify:track:0rjX2M9jeu6m0jjbAJJoZ5,https://api.spotify.com/v1/tracks/0rjX2M9jeu6m0jjbAJJoZ5,https://api.spotify.com/v1/audio-analysis/0rjX2M9jeu6m0jjbAJJoZ5,493333,4,psytrance,,9166.0,Psytrance: From Full on to Forrest Trance
0.645,0.72,8,-6.032,1,0.0399,0.0124,1.18e-06,0.502,0.79,185.598,audio_features,5l3Wg9WULBwif7Bfv2LgcU,spotify:track:5l3Wg9WULBwif7Bfv2LgcU,https://api.spotify.com/v1/tracks/5l3Wg9WULBwif7Bfv2LgcU,https://api.spotify.com/v1/audio-analysis/5l3Wg9WULBwif7Bfv2LgcU,186493,4,Emo,Sic Transit Gloria ... Glory Fades,,
0.873,0.626,11,-7.007999999999999,0,0.134,0.00223,0.79,0.0259,0.404,125.009,audio_features,1WLAK6UNLAi0ZqPrtrN0kW,spotify:track:1WLAK6UNLAi0ZqPrtrN0kW,https://api.spotify.com/v1/tracks/1WLAK6UNLAi0ZqPrtrN0kW,https://api.spotify.com/v1/audio-analysis/1WLAK6UNLAi0ZqPrtrN0kW,365521,4,techhouse,,1447.0,Tech House Essentials by Distortion
0.8240000000000001,0.805,11,-6.992999999999999,0,0.173,0.00829,0.0897,0.363,0.54,124.077,audio_features,7aCuZ2U5l6je1xWZWTvEKO,spotify:track:7aCuZ2U5l6je1xWZWTvEKO,https://api.spotify.com/v1/tracks/7aCuZ2U5l6je1xWZWTvEKO,https://api.spotify.com/v1/audio-analysis/7aCuZ2U5l6je1xWZWTvEKO,183334,4,techhouse,,2528.0,Tech House 2020
0.598,0.982,11,-6.147,0,0.0476,0.000753,0.752,0.265,0.486,148.014,audio_features,7tZLfExxDzrDqU8KN6Ai6A,spotify:track:7tZLfExxDzrDqU8KN6Ai6A,https://api.spotify.com/v1/tracks/7tZLfExxDzrDqU8KN6Ai6A,https://api.spotify.com/v1/audio-analysis/7tZLfExxDzrDqU8KN6Ai6A,414520,4,psytrance,,11390.0,"Psy, Goa, Full on Trance"
0.525,0.65,2,-12.725,1,0.127,0.0486,0.0152,0.119,0.303,149.907,audio_features,0pbdk7TLdGuVyR7XPIOZCF,spotify:track:0pbdk7TLdGuVyR7XPIOZCF,https://api.spotify.com/v1/tracks/0pbdk7TLdGuVyR7XPIOZCF,https://api.spotify.com/v1/audio-analysis/0pbdk7TLdGuVyR7XPIOZCF,120000,4,Trap Metal,2 FACE,,
0.439,0.8909999999999999,0,-4.763999999999999,1,0.057,0.0122,0.0,0.547,0.695,148.599,audio_features,7yCPwWs66K8Ba5lFuU2bcx,spotify:track:7yCPwWs66K8Ba5lFuU2bcx,https://api.spotify.com/v1/tracks/7yCPwWs66K8Ba5lFuU2bcx,https://api.spotify.com/v1/audio-analysis/7yCPwWs66K8Ba5lFuU2bcx,168000,4,Emo,All The Small Things,,
